task_type,input_shape_batch1,output_shape_batch1,activation_precision,input_bytes,output_bytes,round_trip_bytes,pcie_effective_bandwidth_GBps,one_way_fixed_latency_us,fpga_speedup_over_gpu,communication_time_us,minimum_gpu_latency_for_offload_us
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,4,20,2,796.480000,1592.960000
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,4,20,4,796.480000,1061.973333
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,4,20,8,796.480000,910.262857
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,4,50,2,856.480000,1712.960000
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,4,50,4,856.480000,1141.973333
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,4,50,8,856.480000,978.834286
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,8,10,2,398.240000,796.480000
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,8,10,4,398.240000,530.986667
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,8,10,8,398.240000,455.131429
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,8,20,2,418.240000,836.480000
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,8,20,4,418.240000,557.653333
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,8,20,8,418.240000,477.988571
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,8,50,2,478.240000,956.480000
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,8,50,4,478.240000,637.653333
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,8,50,8,478.240000,546.560000
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,16,10,2,209.120000,418.240000
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,16,10,4,209.120000,278.826667
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,16,10,8,209.120000,238.994286
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,16,20,2,229.120000,458.240000
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,16,20,4,229.120000,305.493333
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,16,20,8,229.120000,261.851429
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,16,50,2,289.120000,578.240000
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,16,50,4,289.120000,385.493333
linear_ffn2,1x197x3072,1x197x768,FP32,2420736,605184,3025920,16,50,8,289.120000,330.422857
linear_ffn2,1x197x3072,1x197x768,FP16,1210368,302592,1512960,2,10,2,776.480000,1552.960000
linear_ffn2,1x197x3072,1x197x768,FP16,1210368,302592,1512960,2,10,4,776.480000,1035.306667
linear_ffn2,1x197x3072,1x197x768,FP16,1210368,302592,1512960,2,10,8,776.480000,887.405714
linear_ffn2,1x197x3072,1x197x768,FP16,1210368,302592,1512960,2,20,2,796.480000,1592.960000
linear_ffn2,1x197x3072,1x197x768,FP16,1210368,302592,1512960,2,20,4,796.480000,1061.973333
linear_ffn2,1x197x3072,1x197x768,FP16,1210368,302592,1512960,2,20,8,796.480000,910.262857
linear_ffn2,1x197x3072,1x197x768,FP16,1210368,302592,1512960,2,50,2,856.480000,1712.960000
linear_ffn2,1x197x3072,1x197x768,FP16,1210368,302592,1512960,2,50,4,856.480000,1141.973333
linear_ffn2,1x197x3072,1x197x768,FP16,1210368,302592,1512960,2,50,8,856.480000,978.834286
linear_ffn2,1x197x3072,1x197x768,FP16,1210368,302592,1512960,4,10,2,398.240000,796.480000
linear_ffn2,1x197x3072,1x197x768,FP16,1210368,302592,1512960,4,10,4,398.240000,530.986667
linear_ffn2,1x197x3072,1x197x768,FP16,1210368,302592,1512960,4,10,8,398.240000,455.131429
linear_ffn2,1x197x3072,1x197x768,FP16,1210368,302592,1512960,4,20,2,418.240000,836.480000
linear_ffn2,1x197x3072,1x197x768,FP16,1210368,302592,1512960,4,20,4,418.240000,557.653333
linear_ffn2,1x197x3072,1x197x768,FP16,1210368,302592,1512960,4,20,8,418.240000,477.988571
linear_ffn2,1x197x3072,1x197x768,FP16,1210368,302592,1512960,4,50,2,478.240000,956.480000
linear_ffn2,1x197x3072,1x197x768,FP16,1210368,302592,1512960,4,50,4,478.240000,637.653333
linear_ffn2,1x197x3072,1x197x768,FP16,1210368,302592,1512960,4,50,8,478.240000,546.560000
linear_ffn2,1x197x3072,1x197x768,FP16,1210368,302592,1512960,8,10,2,209.120000,418.240000
linear_ffn2,1x197x3072,1x197x768,FP16,1210368,302592,1512960,8,10,4,209.120000,278.826667
linear_ffn2,1x197x3072,1x197x768,FP16,1210368,302592,1512960,8,10,8,209.120000,238.994286
linear_ffn2,1x197x3072,1x197x768,FP16,1210368,302592,1512960,8,20,2,229.120000,458.240000
linear_ffn2,1x197x3072,1x197x768,FP16,1210368,302592,1512960,8,20,4,229.120000,305.493333
