request_id,selected_mode,edge_index,stage,resource,direction,bytes,start_us,finish_us
0,fixed_manifest,9,1,gpu_host,GPU_to_HOST,302592,983.4636800000001,1017.94048
0,fixed_manifest,9,2,host_fpga_pcie,HOST_to_FPGA,302592,1017.94048,1142.2284800000002
0,fixed_manifest,10,1,host_fpga_pcie,FPGA_to_HOST,302592,1474.9760000000003,1599.2640000000004
0,fixed_manifest,10,2,gpu_host,HOST_to_GPU,302592,1599.2640000000004,1633.7408000000003
0,fixed_manifest,19,1,gpu_host,GPU_to_HOST,302592,2465.6976,2500.1744000000003
0,fixed_manifest,19,2,host_fpga_pcie,HOST_to_FPGA,302592,2500.1744000000003,2624.4624
0,fixed_manifest,20,1,host_fpga_pcie,FPGA_to_HOST,302592,2957.20992,3081.49792
0,fixed_manifest,20,2,gpu_host,HOST_to_GPU,302592,3081.49792,3115.9747199999997
0,fixed_manifest,29,1,gpu_host,GPU_to_HOST,302592,3947.9315199999996,3982.4083200000005
0,fixed_manifest,29,2,host_fpga_pcie,HOST_to_FPGA,302592,3982.4083200000005,4106.69632
0,fixed_manifest,30,1,host_fpga_pcie,FPGA_to_HOST,302592,4439.443840000001,4563.73184
0,fixed_manifest,30,2,gpu_host,HOST_to_GPU,302592,4563.73184,4598.208640000002
0,fixed_manifest,39,1,gpu_host,GPU_to_HOST,302592,5430.1654400000025,5464.642240000003
0,fixed_manifest,39,2,host_fpga_pcie,HOST_to_FPGA,302592,5464.642240000003,5588.930240000003
0,fixed_manifest,40,1,host_fpga_pcie,FPGA_to_HOST,302592,5921.677760000003,6045.965760000004
0,fixed_manifest,40,2,gpu_host,HOST_to_GPU,302592,6045.965760000004,6080.442560000004
0,fixed_manifest,49,1,gpu_host,GPU_to_HOST,302592,6912.399360000005,6946.876160000005
0,fixed_manifest,49,2,host_fpga_pcie,HOST_to_FPGA,302592,6946.876160000005,7071.164160000006
0,fixed_manifest,50,1,host_fpga_pcie,FPGA_to_HOST,302592,7403.911680000006,7528.199680000006
0,fixed_manifest,50,2,gpu_host,HOST_to_GPU,302592,7528.199680000006,7562.676480000006
0,fixed_manifest,59,1,gpu_host,GPU_to_HOST,302592,8394.633280000005,8429.110080000006
0,fixed_manifest,59,2,host_fpga_pcie,HOST_to_FPGA,302592,8429.110080000006,8553.398080000004
0,fixed_manifest,60,1,host_fpga_pcie,FPGA_to_HOST,302592,8886.145600000003,9010.433600000004
0,fixed_manifest,60,2,gpu_host,HOST_to_GPU,302592,9010.433600000004,9044.910400000002
0,fixed_manifest,69,1,gpu_host,GPU_to_HOST,302592,9876.867200000002,9911.344000000001
0,fixed_manifest,69,2,host_fpga_pcie,HOST_to_FPGA,302592,9911.344000000001,10035.632000000001
0,fixed_manifest,70,1,host_fpga_pcie,FPGA_to_HOST,302592,10368.37952,10492.66752
0,fixed_manifest,70,2,gpu_host,HOST_to_GPU,302592,10492.66752,10527.14432
0,fixed_manifest,79,1,gpu_host,GPU_to_HOST,302592,11359.101119999998,11393.577919999996
0,fixed_manifest,79,2,host_fpga_pcie,HOST_to_FPGA,302592,11393.577919999996,11517.865919999997
0,fixed_manifest,80,1,host_fpga_pcie,FPGA_to_HOST,302592,11850.613439999996,11974.901439999996
0,fixed_manifest,80,2,gpu_host,HOST_to_GPU,302592,11974.901439999996,12009.378239999995
0,fixed_manifest,89,1,gpu_host,GPU_to_HOST,302592,12841.335039999993,12875.811839999993
0,fixed_manifest,89,2,host_fpga_pcie,HOST_to_FPGA,302592,12875.811839999993,13000.099839999992
0,fixed_manifest,90,1,host_fpga_pcie,FPGA_to_HOST,302592,13332.847359999992,13457.135359999991
0,fixed_manifest,90,2,gpu_host,HOST_to_GPU,302592,13457.135359999991,13491.612159999991
0,fixed_manifest,99,1,gpu_host,GPU_to_HOST,302592,14323.56895999999,14358.045759999988
0,fixed_manifest,99,2,host_fpga_pcie,HOST_to_FPGA,302592,14358.045759999988,14482.333759999989
0,fixed_manifest,100,1,host_fpga_pcie,FPGA_to_HOST,302592,14815.081279999988,14939.369279999988
0,fixed_manifest,100,2,gpu_host,HOST_to_GPU,302592,14939.369279999988,14973.846079999987
0,fixed_manifest,109,1,gpu_host,GPU_to_HOST,302592,15805.802879999987,15840.279679999989
0,fixed_manifest,109,2,host_fpga_pcie,HOST_to_FPGA,302592,15840.279679999989,15964.56767999999
0,fixed_manifest,110,1,host_fpga_pcie,FPGA_to_HOST,302592,16297.315199999988,16421.60319999999
0,fixed_manifest,110,2,gpu_host,HOST_to_GPU,302592,16421.60319999999,16456.07999999999
0,fixed_manifest,119,1,gpu_host,GPU_to_HOST,302592,17288.036799999994,17322.513599999995
0,fixed_manifest,119,2,host_fpga_pcie,HOST_to_FPGA,302592,17322.513599999995,17446.801599999995
0,fixed_manifest,120,1,host_fpga_pcie,FPGA_to_HOST,302592,17779.549119999996,17903.837119999997
0,fixed_manifest,120,2,gpu_host,HOST_to_GPU,302592,17903.837119999997,17938.313919999997
1,fixed_manifest,9,1,gpu_host,GPU_to_HOST,302592,25983.46368,26017.940480000005
1,fixed_manifest,9,2,host_fpga_pcie,HOST_to_FPGA,302592,26017.940480000005,26142.228480000005
1,fixed_manifest,10,1,host_fpga_pcie,FPGA_to_HOST,302592,26474.976000000006,26599.264000000003
1,fixed_manifest,10,2,gpu_host,HOST_to_GPU,302592,26599.264000000003,26633.740800000007
1,fixed_manifest,19,1,gpu_host,GPU_to_HOST,302592,27465.69760000001,27500.17440000001
1,fixed_manifest,19,2,host_fpga_pcie,HOST_to_FPGA,302592,27500.17440000001,27624.46240000001
1,fixed_manifest,20,1,host_fpga_pcie,FPGA_to_HOST,302592,27957.209920000012,28081.49792000001
1,fixed_manifest,20,2,gpu_host,HOST_to_GPU,302592,28081.49792000001,28115.974720000013
1,fixed_manifest,29,1,gpu_host,GPU_to_HOST,302592,28947.931520000016,28982.408320000017
1,fixed_manifest,29,2,host_fpga_pcie,HOST_to_FPGA,302592,28982.408320000017,29106.696320000017
1,fixed_manifest,30,1,host_fpga_pcie,FPGA_to_HOST,302592,29439.443840000018,29563.73184000002
1,fixed_manifest,30,2,gpu_host,HOST_to_GPU,302592,29563.73184000002,29598.20864000002
1,fixed_manifest,39,1,gpu_host,GPU_to_HOST,302592,30430.165440000022,30464.642240000023
1,fixed_manifest,39,2,host_fpga_pcie,HOST_to_FPGA,302592,30464.642240000023,30588.930240000023
1,fixed_manifest,40,1,host_fpga_pcie,FPGA_to_HOST,302592,30921.677760000024,31045.965760000025
1,fixed_manifest,40,2,gpu_host,HOST_to_GPU,302592,31045.965760000025,31080.442560000025
1,fixed_manifest,49,1,gpu_host,GPU_to_HOST,302592,31912.399360000025,31946.876160000025
1,fixed_manifest,49,2,host_fpga_pcie,HOST_to_FPGA,302592,31946.876160000025,32071.164160000026
1,fixed_manifest,50,1,host_fpga_pcie,FPGA_to_HOST,302592,32403.91168000003,32528.19968000003
1,fixed_manifest,50,2,gpu_host,HOST_to_GPU,302592,32528.19968000003,32562.67648000003
1,fixed_manifest,59,1,gpu_host,GPU_to_HOST,302592,33394.633280000024,33429.11008000003
1,fixed_manifest,59,2,host_fpga_pcie,HOST_to_FPGA,302592,33429.11008000003,33553.39808000003
