request_id,task_id,task_type,device,start_us,finish_us,duration_us
0,patch_embedding,patch_embedding,GPU,0.0,120.60550400000001,120.60550400000001
1,patch_embedding,patch_embedding,GPU,120.60550400000001,241.21100800000002,120.60550400000001
2,patch_embedding,patch_embedding,GPU,241.21100800000002,361.816512,120.605504
3,patch_embedding,patch_embedding,GPU,361.816512,482.42201600000004,120.60550400000002
4,patch_embedding,patch_embedding,GPU,482.42201600000004,603.02752,120.60550399999997
5,patch_embedding,patch_embedding,GPU,603.02752,723.633024,120.60550400000002
6,patch_embedding,patch_embedding,GPU,723.633024,844.2385280000001,120.60550400000002
7,patch_embedding,patch_embedding,GPU,844.2385280000001,964.8440320000001,120.60550400000002
0,token_embedding,token_and_position_embedding,GPU,964.8440320000001,1006.155072,41.311039999999984
1,token_embedding,token_and_position_embedding,GPU,1006.155072,1047.466112,41.3110400000001
2,token_embedding,token_and_position_embedding,GPU,1047.466112,1088.7771520000003,41.3110400000001
3,token_embedding,token_and_position_embedding,GPU,1088.7771520000003,1130.0881920000004,41.3110400000001
4,token_embedding,token_and_position_embedding,GPU,1130.0881920000004,1171.3992320000004,41.3110400000001
5,token_embedding,token_and_position_embedding,GPU,1171.3992320000004,1212.7102720000005,41.3110400000001
6,token_embedding,token_and_position_embedding,GPU,1212.7102720000005,1254.0213120000005,41.3110400000001
7,token_embedding,token_and_position_embedding,GPU,1254.0213120000005,1295.3323520000008,41.3110400000001
0,block_00_norm1,layer_norm,GPU,1295.3323520000008,1348.7470720000008,53.41472000000005
1,block_00_norm1,layer_norm,GPU,1348.7470720000008,1402.1617920000008,53.41472000000005
2,block_00_norm1,layer_norm,GPU,1402.1617920000008,1455.5765120000008,53.41472000000005
3,block_00_norm1,layer_norm,GPU,1455.5765120000008,1508.991232000001,53.41472000000005
0,block_00_qkv,linear_qkv,FPGA,1502.4005120000008,1598.797008000001,96.39649600000008
4,block_00_norm1,layer_norm,GPU,1508.991232000001,1562.405952000001,53.41472000000005
5,block_00_norm1,layer_norm,GPU,1562.405952000001,1615.820672000001,53.41472000000005
1,block_00_qkv,linear_qkv,FPGA,1598.797008000001,1695.193504000001,96.39649600000008
6,block_00_norm1,layer_norm,GPU,1615.820672000001,1669.235392000001,53.41472000000005
7,block_00_norm1,layer_norm,GPU,1669.235392000001,1722.6501120000012,53.41472000000005
2,block_00_qkv,linear_qkv,FPGA,1811.845632000001,1908.242128000001,96.39649600000008
3,block_00_qkv,linear_qkv,FPGA,2010.9008613333344,2107.2973573333347,96.39649600000008
4,block_00_qkv,linear_qkv,FPGA,2337.7360053333346,2434.1325013333344,96.39649600000008
5,block_00_qkv,linear_qkv,FPGA,2613.6211496000014,2710.0176456000013,96.39649600000008
