request_id,selected_mode,edge_index,stage,resource,direction,bytes,start_us,finish_us
0,fixed_manifest,9,1,gpu_host,GPU_to_HOST,302592,983.4636800000001,1017.94048
0,fixed_manifest,9,2,host_fpga_pcie,HOST_to_FPGA,302592,1017.94048,1142.2284800000002
0,fixed_manifest,10,1,host_fpga_pcie,FPGA_to_HOST,302592,1474.9760000000003,1599.2640000000004
0,fixed_manifest,10,2,gpu_host,HOST_to_GPU,302592,1599.2640000000004,1633.7408000000003
0,fixed_manifest,19,1,gpu_host,GPU_to_HOST,302592,2465.6976,2500.1744000000003
0,fixed_manifest,19,2,host_fpga_pcie,HOST_to_FPGA,302592,2500.1744000000003,2624.4624
0,fixed_manifest,20,1,host_fpga_pcie,FPGA_to_HOST,302592,2957.20992,3081.49792
0,fixed_manifest,20,2,gpu_host,HOST_to_GPU,302592,3081.49792,3115.9747199999997
0,fixed_manifest,29,1,gpu_host,GPU_to_HOST,302592,3947.9315199999996,3982.4083200000005
0,fixed_manifest,29,2,host_fpga_pcie,HOST_to_FPGA,302592,3982.4083200000005,4106.69632
0,fixed_manifest,30,1,host_fpga_pcie,FPGA_to_HOST,302592,4439.443840000001,4563.73184
0,fixed_manifest,30,2,gpu_host,HOST_to_GPU,302592,4563.73184,4598.208640000002
0,fixed_manifest,39,1,gpu_host,GPU_to_HOST,302592,5430.1654400000025,5464.642240000003
0,fixed_manifest,39,2,host_fpga_pcie,HOST_to_FPGA,302592,5464.642240000003,5588.930240000003
0,fixed_manifest,40,1,host_fpga_pcie,FPGA_to_HOST,302592,5921.677760000003,6045.965760000004
0,fixed_manifest,40,2,gpu_host,HOST_to_GPU,302592,6045.965760000004,6080.442560000004
0,fixed_manifest,49,1,gpu_host,GPU_to_HOST,302592,6912.399360000005,6946.876160000005
0,fixed_manifest,49,2,host_fpga_pcie,HOST_to_FPGA,302592,6946.876160000005,7071.164160000006
0,fixed_manifest,50,1,host_fpga_pcie,FPGA_to_HOST,302592,7403.911680000006,7528.199680000006
0,fixed_manifest,50,2,gpu_host,HOST_to_GPU,302592,7528.199680000006,7562.676480000006
0,fixed_manifest,59,1,gpu_host,GPU_to_HOST,302592,8394.633280000005,8429.110080000006
0,fixed_manifest,59,2,host_fpga_pcie,HOST_to_FPGA,302592,8429.110080000006,8553.398080000004
0,fixed_manifest,60,1,host_fpga_pcie,FPGA_to_HOST,302592,8886.145600000003,9010.433600000004
0,fixed_manifest,60,2,gpu_host,HOST_to_GPU,302592,9010.433600000004,9044.910400000002
0,fixed_manifest,69,1,gpu_host,GPU_to_HOST,302592,9876.867200000002,9911.344000000001
0,fixed_manifest,69,2,host_fpga_pcie,HOST_to_FPGA,302592,9911.344000000001,10035.632000000001
0,fixed_manifest,70,1,host_fpga_pcie,FPGA_to_HOST,302592,10368.37952,10492.66752
0,fixed_manifest,70,2,gpu_host,HOST_to_GPU,302592,10492.66752,10527.14432
0,fixed_manifest,79,1,gpu_host,GPU_to_HOST,302592,11359.101119999998,11393.577919999996
0,fixed_manifest,79,2,host_fpga_pcie,HOST_to_FPGA,302592,11393.577919999996,11517.865919999997
0,fixed_manifest,80,1,host_fpga_pcie,FPGA_to_HOST,302592,11850.613439999996,11974.901439999996
0,fixed_manifest,80,2,gpu_host,HOST_to_GPU,302592,11974.901439999996,12009.378239999995
0,fixed_manifest,89,1,gpu_host,GPU_to_HOST,302592,12841.335039999993,12875.811839999993
0,fixed_manifest,89,2,host_fpga_pcie,HOST_to_FPGA,302592,12875.811839999993,13000.099839999992
0,fixed_manifest,90,1,host_fpga_pcie,FPGA_to_HOST,302592,13332.847359999992,13457.135359999991
0,fixed_manifest,90,2,gpu_host,HOST_to_GPU,302592,13457.135359999991,13491.612159999991
0,fixed_manifest,99,1,gpu_host,GPU_to_HOST,302592,14323.56895999999,14358.045759999988
0,fixed_manifest,99,2,host_fpga_pcie,HOST_to_FPGA,302592,14358.045759999988,14482.333759999989
0,fixed_manifest,100,1,host_fpga_pcie,FPGA_to_HOST,302592,14815.081279999988,14939.369279999988
0,fixed_manifest,100,2,gpu_host,HOST_to_GPU,302592,14939.369279999988,14973.846079999987
0,fixed_manifest,109,1,gpu_host,GPU_to_HOST,302592,15805.802879999987,15840.279679999989
0,fixed_manifest,109,2,host_fpga_pcie,HOST_to_FPGA,302592,15840.279679999989,15964.56767999999
0,fixed_manifest,110,1,host_fpga_pcie,FPGA_to_HOST,302592,16297.315199999988,16421.60319999999
0,fixed_manifest,110,2,gpu_host,HOST_to_GPU,302592,16421.60319999999,16456.07999999999
0,fixed_manifest,119,1,gpu_host,GPU_to_HOST,302592,17922.752959999994,17957.229759999995
0,fixed_manifest,119,2,host_fpga_pcie,HOST_to_FPGA,302592,17957.229759999995,18081.517759999995
1,fixed_manifest,9,1,gpu_host,GPU_to_HOST,302592,18271.500479999995,18305.977279999996
1,fixed_manifest,9,2,host_fpga_pcie,HOST_to_FPGA,302592,18305.977279999996,18430.265279999996
0,fixed_manifest,120,1,host_fpga_pcie,FPGA_to_HOST,302592,18414.265279999996,18538.553279999996
0,fixed_manifest,120,2,gpu_host,HOST_to_GPU,302592,18538.553279999996,18573.030079999997
1,fixed_manifest,10,1,host_fpga_pcie,FPGA_to_HOST,302592,18763.012799999997,18887.300799999997
1,fixed_manifest,10,2,gpu_host,HOST_to_GPU,302592,18887.300799999997,18921.777599999998
1,fixed_manifest,19,1,gpu_host,GPU_to_HOST,302592,19753.7344,19788.2112
1,fixed_manifest,19,2,host_fpga_pcie,HOST_to_FPGA,302592,19788.2112,19912.499200000002
1,fixed_manifest,20,1,host_fpga_pcie,FPGA_to_HOST,302592,20245.246720000003,20369.534720000003
1,fixed_manifest,20,2,gpu_host,HOST_to_GPU,302592,20369.534720000003,20404.011520000004
1,fixed_manifest,29,1,gpu_host,GPU_to_HOST,302592,21235.968320000007,21270.445120000008
1,fixed_manifest,29,2,host_fpga_pcie,HOST_to_FPGA,302592,21270.445120000008,21394.733120000008
1,fixed_manifest,30,1,host_fpga_pcie,FPGA_to_HOST,302592,21727.48064000001,21851.76864000001
1,fixed_manifest,30,2,gpu_host,HOST_to_GPU,302592,21851.76864000001,21886.24544000001
1,fixed_manifest,39,1,gpu_host,GPU_to_HOST,302592,22718.202240000013,22752.679040000014
1,fixed_manifest,39,2,host_fpga_pcie,HOST_to_FPGA,302592,22752.679040000014,22876.967040000014
1,fixed_manifest,40,1,host_fpga_pcie,FPGA_to_HOST,302592,23209.714560000015,23334.002560000015
1,fixed_manifest,40,2,gpu_host,HOST_to_GPU,302592,23334.002560000015,23368.479360000016
1,fixed_manifest,49,1,gpu_host,GPU_to_HOST,302592,24200.43616000002,24234.91296000002
1,fixed_manifest,49,2,host_fpga_pcie,HOST_to_FPGA,302592,24234.91296000002,24359.20096000002
1,fixed_manifest,50,1,host_fpga_pcie,FPGA_to_HOST,302592,24691.94848000002,24816.23648000002
1,fixed_manifest,50,2,gpu_host,HOST_to_GPU,302592,24816.23648000002,24850.71328000002
1,fixed_manifest,59,1,gpu_host,GPU_to_HOST,302592,25682.670080000025,25717.146880000026
1,fixed_manifest,59,2,host_fpga_pcie,HOST_to_FPGA,302592,25717.146880000026,25841.434880000026
